case_id,theme,doc_symbol,year,country,country_pt,vote,vote_pt,committee_record_symbol,committee_record_url,evidence_type,speaker_excerpt_first,date_accessed
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,Brazil,Brasil,yes,sim,A/C.3/62/SR.49,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.49&t=pdf,menção substantiva ao tema,"100. Ms. Ribeiro Viotti (Brazil) said that the formation of the Human Rights Council had created an enabling environment to address human rights through dialogue. However, the lack of willingness on the part of the Democratic People’s Republic of Korea to engage in dialogue was worrying and warranted a clear message. Her delegation had therefore voted in favour of the revised draft resolution. The meeting rose at 1 p.m.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,China,China,no,não,A/C.3/62/SR.49,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.49&t=pdf,menção substantiva ao tema,"94. Ms. Zhang Dan (China) said that her country opposed any country-specific resolutions designed to exert pressure on developing countries, such as the Democratic People’s Republic of Korea, which had been taking steps to improve the situation. She hoped that solutions could be found through dialogue and cooperation.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/64/175,2009,Brazil,Brasil,abstain,abstenção,A/C.3/64/SR.44,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F64%2FSR.44&t=pdf,menção substantiva ao tema,"98. Mr. Perez (Brazil) said that his delegation noted the concerns that had been raised regarding human rights in the Democratic People’s Republic of Korea, but had abstained on the grounds that the Council had principal responsibility for such issues. His delegation encouraged the Democratic People’s Republic of Korea to extend invitations to special mandate holders, fulfil its obligations to the Council and implement the recommendations of the forthcoming universal periodic review.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/66/174,2011,Brazil,Brasil,yes,sim,A/C.3/66/SR.47,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F66%2FSR.47&t=pdf,menção substantiva ao tema,"34. Mr. de Sellos (Brazil) said that his country’s support for the draft resolution reflected its concern over the lack of engagement and cooperation between the Democratic People’s Republic of Korea and the United Nations human rights system. However the vote should not be understood as a condemnation but rather as encouragement to the Democratic People’s Republic of Korea to strengthen its cooperation with the international human rights system. His country had taken note of the positive developments with respect to cooperation with United Nations agencies, particularly in the humanitarian field. Support from the international community for the humanitarian efforts in the Democratic People’s Republic of Korea was essential, and all Member States were urged to provide assistance. 35. In spite of those positive developments, his country noted with concern the reports of the Secretary-Gen…",2026-05-16
N2,Country-specific human rights reports: Iran,A/RES/62/168,2007,Brazil,Brasil,abstain,abstenção,A/C.3/62/SR.50,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.50&t=pdf,menção substantiva ao tema,"88. Ms. Maierá (Brazil) said that, although her delegation had abstained from voting, her country noted with concern the human-rights situation in the Islamic Republic of Iran, particularly with regard to freedom of expression and opinion, violence and discrimination against women, and the application of cruel forms of punishment. Particularly disquieting was the reported application of the death penalty to persons under the age of 18, and discrimination against the Bahá’í community, including arbitrary detentions, imprisonment based on matters of conscience, restrictions on the right to work and education, and destruction of that community’s cultural legacy. 89. Brazil strongly supported consolidation of the Human Rights Council as the main United Nations body to promote and protect human rights by creating an enabling environment to address human-rights situations in a spirit of genui…",2026-05-16
N4,Moratorium on the death penalty,A/RES/62/149,2007,Brazil,Brasil,yes,sim,A/C.3/62/SR.45,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.45&t=pdf,menção substantiva ao tema,"51. Ms. Maiera (Brazil) said that while a moratorium on the use of the death penalty was certainly linked to the issue of the right to life, the right to life itself was not the main focus of the draft resolution. The oral amendments proposed by the representative of Egypt would change the focus of the draft resolution and undermine its main message. Her delegation believed that the issue of the right to life deserved full consideration, but in a more appropriate context, and therefore objected to the amendments, requested a recorded vote on the amendments, and called on other Member States to follow its example and vote against them.",2026-05-16
N4,Moratorium on the death penalty,A/RES/62/149,2007,China,China,no,não,A/C.3/62/SR.43,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.43&t=pdf,menção substantiva ao tema,"58. Ms. Zhang (China) said that there was no international consensus on the abolition of the death penalty and that the General Assembly had already discussed it to no avail in 1994 and 1999. It was a highly complex criminal justice issue and a matter for sovereign States to decide within the purview of their national legislation. The International Covenant on Civil and Political Rights stipulated that the death penalty could be imposed for the most serious crimes, but did not ban it. 59. The General Assembly was not the proper forum to discuss such a divisive issue and could only serve to politicize it further. The sponsors of the draft resolution were trying to impose their views on others and not acting in a spirit of constructive dialogue.",2026-05-16
N4,Moratorium on the death penalty,A/RES/62/149,2007,China,China,no,não,A/C.3/62/SR.46,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.46&t=pdf,menção substantiva ao tema,"51. Ms. Zhang Dan (China) said that the fact that 52 countries had voted against the draft resolution was proof that there was no international consensus on the issue of the death penalty. Her delegation therefore had serious doubts about the effectiveness of the draft resolution. All countries had the right to choose their own political, economic, social and judicial systems in the light of their specific situation, in exercise of their inalienable sovereignty. The death penalty was an issue of criminal justice which fell within the sphere of the internal affairs of individual countries. Her delegation deplored the rejection of the request for a vote on separate paragraphs of the draft resolution, an action that violated the rights of Member States to express their views. Her delegation respected the choice made by those countries that had decided to apply a voluntary moratorium on the…",2026-05-16
N4,Moratorium on the death penalty,A/RES/65/206,2010,Brazil,Brasil,yes,sim,A/C.3/65/SR.45,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F65%2FSR.45&t=pdf,menção substantiva ao tema,"85. Mr. Andrade (Brazil) said that Brazil welcomed the adoption of the draft resolution because it emphasized the importance of promoting human rights. Significant progress had been in the dialogue on the death penalty among all Member States, which had enabled them to adopt a more balanced text. Dialogue would also lead to a better understanding of the different positions, and would help States work together towards abolishing the death penalty. Brazil hoped that the more constructive atmosphere achieved could be retained when consideration resumed in two years’ time and emphasized the importance of transparent consultations to achieve a resolution with the broadest possible support.",2026-05-16
N4,Moratorium on the death penalty,A/RES/67/176,2012,China,China,no,não,A/C.3/67/SR.40,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F67%2FSR.40&t=pdf,menção substantiva ao tema,16. Ms. Li Xiaomei (China) said that the decision whether or not to permit use of the death penalty was for every country to decide based on its cultural traditions and specific national circumstances. The draft resolution ran counter to the principle of non- interference in internal affairs enshrined in the Charter of the United Nations. The International Covenant on Civil and Political Rights provided that the death penalty could be used in cases of the most serious A/C.3/67/SR.40 12-59613 4 crimes. The key was to exercise caution in the use of the death penalty and ensure the rights of defendants. She urged the sponsors of the draft resolution to respect the judicial traditions of other countries and stop politicizing the issue. Her country would vote against the draft resolution. 17. The Chair drew attention to the draft amendments to draft resolution A/C.3/67/L.44/Rev.1 contained i…,2026-05-16
N4,Moratorium on the death penalty,A/RES/67/176,2012,China,China,no,não,A/C.3/67/SR.42,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F67%2FSR.42&t=pdf,menção substantiva ao tema,"71. Ms. Li Xiaomei (China) said that it was regrettable that references to capital punishment appeared in the 2012 draft resolution, since it was an issue of national sovereignty. For that reason China had abstained. It urged the sponsors to respect the judicial sovereignty of Member States in the spirit of mutual respect and to refrain from imposing their views on others.",2026-05-16
P3,UN Human Rights Council reports,A/RES/65/195,2010,China,China,yes,sim,A/C.3/65/SR.39,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F65%2FSR.39&t=pdf,menção substantiva ao tema,"13. Ms. Zhang (China) said that, four years after its creation, the Human Rights Council’s work in various areas was on track. Although there were still shortcomings and problems, its overall performance had been good, which had contributed to the promotion of human rights worldwide. Thus, the review should assess the Council’s achievements and shortcomings over the years and make targeted improvements in accordance with the institution-building package and the principles set forth in the General Assembly resolution. The consultation process must be open, transparent and inclusive, with a positive approach by all parties to the dialogue with a view to reaching consensus. The Council and the Third Committee should further define their division of labour in order to avoid duplication. A/C.3/65/SR.39 10-61572 4 14. China had been working relentlessly to promote human rights at the national…",2026-05-16
